file,batch,seq,tokens,model_type,num_layers,hidden_size,kv_hidden_size,num_experts,num_experts_per_tok,num_moe_layers,num_dense_layers,decode_steps,avg_decode_kv_len,attn_devices,ffn_devices,total_devices,routing_backend,routing_update_mode,routing_table_version,routing_poll_count,routing_poll_ms,decode_tpot_ms,throughput_tok_s,attn_flops_per_token,ffn_flops_per_token,total_flops_per_token,attn_achieved_tflops,ffn_achieved_tflops,system_achieved_tflops,peak_tflops_per_device,attn_peak_tflops,ffn_peak_tflops,system_peak_tflops,attn_mfu,ffn_mfu,system_mfu
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b128_s128_t20.json,128,128,20,qwen3_moe,48,2048,256,128,8,48,0,19,137.000000,1,7,8,coordinator,oneshot,1,0,0.000000,886.327641,144.416121,1582170112.000000,3649044480.000000,5231214592.000000,0.228491,0.526981,0.755472,800.000000,800.000000,5600.000000,6400.000000,0.000286,0.000094,0.000118
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b128_s256_t20.json,128,256,20,qwen3_moe,48,2048,256,128,8,48,0,19,265.000000,1,7,8,coordinator,oneshot,1,0,0.000000,846.869005,151.144981,1632501760.000000,3649044480.000000,5281546240.000000,0.246744,0.551535,0.798279,800.000000,800.000000,5600.000000,6400.000000,0.000308,0.000098,0.000125
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b128_s512_t20.json,128,512,20,qwen3_moe,48,2048,256,128,8,48,0,19,521.000000,1,7,8,coordinator,oneshot,1,0,0.000000,913.161163,140.172409,1733165056.000000,3649044480.000000,5382209536.000000,0.242942,0.511495,0.754437,800.000000,800.000000,5600.000000,6400.000000,0.000304,0.000091,0.000118
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b16_s128_t20.json,16,128,20,qwen3_moe,48,2048,256,128,8,48,0,19,137.000000,1,7,8,coordinator,oneshot,1,0,0.000000,363.991077,43.957122,1582170112.000000,3649044480.000000,5231214592.000000,0.069548,0.160401,0.229949,800.000000,800.000000,5600.000000,6400.000000,0.000087,0.000029,0.000036
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b16_s256_t20.json,16,256,20,qwen3_moe,48,2048,256,128,8,48,0,19,265.000000,1,7,8,coordinator,oneshot,1,0,0.000000,369.615367,43.288243,1632501760.000000,3649044480.000000,5281546240.000000,0.070668,0.157961,0.228629,800.000000,800.000000,5600.000000,6400.000000,0.000088,0.000028,0.000036
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b16_s512_t20.json,16,512,20,qwen3_moe,48,2048,256,128,8,48,0,19,521.000000,1,7,8,coordinator,oneshot,1,0,0.000000,349.961002,45.719380,1733165056.000000,3649044480.000000,5382209536.000000,0.079239,0.166832,0.246071,800.000000,800.000000,5600.000000,6400.000000,0.000099,0.000030,0.000038
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b256_s128_t20.json,256,128,20,qwen3_moe,48,2048,256,128,8,48,0,19,137.000000,1,7,8,coordinator,oneshot,1,0,0.000000,1309.063777,195.559609,1582170112.000000,3649044480.000000,5231214592.000000,0.309409,0.713606,1.023014,800.000000,800.000000,5600.000000,6400.000000,0.000387,0.000127,0.000160
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b256_s256_t20.json,256,256,20,qwen3_moe,48,2048,256,128,8,48,0,19,265.000000,1,7,8,coordinator,oneshot,1,0,0.000000,1369.713561,186.900391,1632501760.000000,3649044480.000000,5281546240.000000,0.305115,0.682008,0.987123,800.000000,800.000000,5600.000000,6400.000000,0.000381,0.000122,0.000154
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b256_s512_t20.json,256,512,20,qwen3_moe,48,2048,256,128,8,48,0,19,521.000000,1,7,8,coordinator,oneshot,1,0,0.000000,1432.878308,178.661369,1733165056.000000,3649044480.000000,5382209536.000000,0.309650,0.651943,0.961593,800.000000,800.000000,5600.000000,6400.000000,0.000387,0.000116,0.000150
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b2_s128_t20.json,2,128,20,qwen3_moe,48,2048,256,128,8,48,0,19,137.000000,1,7,8,coordinator,oneshot,1,0,0.000000,227.025995,8.809564,1582170112.000000,3649044480.000000,5231214592.000000,0.013938,0.032146,0.046085,800.000000,800.000000,5600.000000,6400.000000,0.000017,0.000006,0.000007
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b2_s256_t20.json,2,256,20,qwen3_moe,48,2048,256,128,8,48,0,19,265.000000,1,7,8,coordinator,oneshot,1,0,0.000000,224.197532,8.920705,1632501760.000000,3649044480.000000,5281546240.000000,0.014563,0.032552,0.047115,800.000000,800.000000,5600.000000,6400.000000,0.000018,0.000006,0.000007
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b2_s512_t20.json,2,512,20,qwen3_moe,48,2048,256,128,8,48,0,19,521.000000,1,7,8,coordinator,oneshot,1,0,0.000000,230.250172,8.686204,1733165056.000000,3649044480.000000,5382209536.000000,0.015055,0.031696,0.046751,800.000000,800.000000,5600.000000,6400.000000,0.000019,0.000006,0.000007
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_attention_xhost_coord_matrix_b32_s128_t20.json,32,128,20,qwen3_moe,48,2048,256,128,8,48,0,19,137.000000,1,7,8,coordinator,oneshot,1,0,0.000000,457.763115,69.905152,1582170112.000000,3649044480.000000,5231214592.000000,0.110602,0.255087,0.365689,800.000000,800.000000,5600.000000,6400.000000,0.000138,0.000046,0.000057
